#Paramter,English,Japanese
INVALID_PARAMETER;Invalid parameter!;不正なパラメータです。
UNKNOWN;Unknown error !;予期しないエラーが起こりました。

AUTH_ERROR;Authorize error !;認証エラー。
LOGIN_ERROR;Login error !;ログインできません。
NO_SESSION;Please login this site !;ログインしてください。

NOT_MATCH_PASSWORDS;Not match passwords !;パスワードが一致しません。

NOT_UPLOAD;Can not upload !;アップロードできません。

NO_FILE;No file exists !;ファイルがありません。

NO_PLAYLIST_INFO;No playlist !;プレイリストがありません。

NOT_AUDIO_FILE;This file is not audio file.;音声ファイルではありません。
NO_VOICE_INFO;No voice info.;音声情報がありません。
FILE_AMOUNT_MAX_OVER;The size of uploaded files is over.;アップロードしたファイルの合計サイズが限界を越えています。
VOICE_FILE_MAX_OVER;This file is too big.;ファイルサイズが大きすぎます。

NOT_IMAGE_FILE;This file is not image.;画像ファイルではありません。
NO_IMAGE_INFO;No voice info.;画像情報がありません。
